"LANGUAGE","Français","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"WHATSNEW_L1","Ce message est juste pour vous informer que le mod a été mis à jour.",""
"WHATSNEW_L2","Pour une liste détaillée des changements, veuillez visiter l'Atelier Steam ou GitHub.",""
"WHATSNEW_L3","Merci pour votre utilisation et votre soutien !",""
"MOD_DESCRIPTION","Affichage de train de style japonais",""
"NEXT","Prochain","Next {0}. ({0} is the station name)"
"NOW_STOPPING_AT","Arrêt à","Now stopping at {0}. ({0} is the station name)"
"FOR","Direction","For {0}. ({0} is the station name)"
"FOR_CIRCULAR","Direction","For {0}. ({0} is the station name)"
"SETTINGS_GROUPNAME_DISPLAY","Options d'affichage",""
"SETTINGS_DISPLAY_WIDTH","Largeur d'affichage",""
"SETTINGS_DISPLAY_ROWDIR","Direction des lignes d'affichage (Valable pour les langues CJK)",""
"SETTINGS_DISPLAY_ROWDIR_L2R","De gauche à droite",""
"SETTINGS_DISPLAY_ROWDIR_R2L","De droite à gauche",""
"SETTINGS_STATION_NAME_ANGLE","Angle de rotation du nom de la gare (Valable pour les langues non CJK)",""
"SETTINGS_MAXSTATIONNUM","Nombre maximal de stations affichées",""
"SETTINGS_TEXT_SHRINKED","Réduire le texte de la prochaine station s'il est long",""
"SETTINGS_STATION_SUFFIX","Suffixes de station à supprimer",""
"SETTINGS_STATION_SUFFIX_TOOLTIP","Si le nom de la station se termine par ces suffixes, ils seront supprimés de l'affichage",""
"SETTINGS_STATION_SUFFIX_WHITELIST","Liste blanche des suffixes de nom de station",""
"SETTINGS_STATION_SUFFIX_WHITELISTTOOLTIP","Ceux-ci ne seront pas retirés des noms de gares, même s'ils figurent dans la liste des suffixes à supprimer.",""
"SETTINGS_DISPLAY_VEHICLE_TYPE","Afficher les types de véhicules",""
"SETTINGS_TOGGLEKEY","Basculer l'affichage",""
"SETTINGS_TOGGLEKEY_TOOLTIP","Cette touche ignorera les paramètres ""{0}"".",""
"SETTINGS_IS_TRAIN","Train",""
"SETTINGS_IS_METRO","Métro",""
"SETTINGS_IS_MONORAIL","Monorail",""
"SETTINGS_IS_TRAM","Tramway",""
"SETTINGS_IS_BUS","Bus",""
"SETTINGS_IS_TROLLEYBUS","Trolleybus",""
"SETTINGS_IS_FERRY","Ferry",""
"SETTINGS_IS_BLIMP","Dirigeable",""
"SETTINGS_IS_COPTER","Hélicoptère",""
"SETTINGS_TTS","Activer la TTS",""
"SETTINGS_TTS_VOICECHOICE","Sélectionner la voix",""
"SETTINGS_TTS_TOOLTIP","Activer la voix d'annonce en gare basée sur la synthèse vocale.",""
"SETTINGS_TTS_DEPARTING","Format d'annonce au départ de la station",""
"SETTINGS_TTS_ARRIVING","Format d'annonce à l'arrivée en station",""
"SETTINGS_TTS_RATE","Vitesse de parole",""
"SETTINGS_TTS_FORMATTOOLTIP","{0} - Nom de la station
{1} - Nom du terminal
{2} - Nom de la ligne
{3} - Code de ligne (nécessite le mod TLM)
{4} - Nom du type de véhicule",""
"SETTINGS_TTS_NOTAVAILABLE","Désolé, cette fonctionnalité est uniquement disponible sous Windows.",""
"WARNTITLE","Attention !",""
"WARNDETAIL","L'affichage du train a cessé de s'afficher : {1}{0}",""
"WARNTEXT","Échec de la détection des gares de départ et d'arrivée",""
"IGNORE","Ignorer",""
"HIDE","Masquer l'affichage",""
"SETTINGS_RESETBTN","Réinitialiser les paramètres",""
