"LANGUAGE","Bahasa Indonesia","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"WHATSNEW_L1","Pesan ini hanya untuk memberitahu bahwa mod telah diperbarui.",""
"WHATSNEW_L2","Untuk daftar detail perubahan, silakan kunjungi Steam Workshop atau GitHub.",""
"WHATSNEW_L3","Terima kasih atas penggunaan dan support anda!",""
"MOD_DESCRIPTION","Tampilan rute kereta bergaya Jepang",""
"NEXT","Selanjutnya","Next {0}. ({0} is the station name)"
"NOW_STOPPING_AT","Tiba di","Now stopping at {0}. ({0} is the station name)"
"FOR","Terminus","For {0}. ({0} is the station name)"
"FOR_CIRCULAR","Terminus","For {0}. ({0} is the station name)"
"SETTINGS_GROUPNAME_DISPLAY","Opsi tampilan",""
"SETTINGS_DISPLAY_WIDTH","Lebar tampilan",""
"SETTINGS_DISPLAY_ROWDIR","Arah baris tampilan (efektif di CJK)",""
"SETTINGS_DISPLAY_ROWDIR_L2R","Dari kiri ke kanan",""
"SETTINGS_DISPLAY_ROWDIR_R2L","Dari kanan ke kiri",""
"SETTINGS_STATION_NAME_ANGLE","Miringkan nama stasiun (efektif di non-CJK)",""
"SETTINGS_MAXSTATIONNUM","Maksimal jumlah stasiun yang ditampilkan",""
"SETTINGS_TEXT_SHRINKED","Himpitkan teks stasiun selanjutnya apabila terlalu panjang",""
"SETTINGS_STATION_SUFFIX","Akhiran nama stasiun untuk dihapus",""
"SETTINGS_STATION_SUFFIX_TOOLTIP","Apabila nama stasiun berakhir dengan akhiran ini, akhiran tersebut akan dihilangkan dari tampilan",""
"SETTINGS_STATION_SUFFIX_WHITELIST","Daftar putih akhiran nama stasiun",""
"SETTINGS_STATION_SUFFIX_WHITELISTTOOLTIP","Akhiran ini tidak akan dihapus dari nama stasiun, meski pun ada dalam daftar akhiran yang akan dihapus.",""
"SETTINGS_DISPLAY_VEHICLE_TYPE","Tampilkan Jenis Kendaraan",""
"SETTINGS_IS_TRAIN","Kereta",""
"SETTINGS_IS_METRO","Metro",""
"SETTINGS_IS_MONORAIL","Monorel",""
"SETTINGS_IS_TRAM","Trem",""
"SETTINGS_IS_BUS","Bis",""
"SETTINGS_IS_TROLLEYBUS","Bus Troli",""
"SETTINGS_IS_FERRY","Feri",""
"SETTINGS_IS_BLIMP","Balon Udara",""
"SETTINGS_IS_COPTER","Helikopter",""
"SETTINGS_TTS","Nyalakan TTS",""
"SETTINGS_TTS_VOICECHOICE","Pilih Suara",""
"SETTINGS_TTS_TOOLTIP","Nyalakan suara pengumuman dengan text-to-speech.",""
"SETTINGS_TTS_DEPARTING","Format pengumuman ketika berangkat",""
"SETTINGS_TTS_ARRIVING","Format pengumuman ketika tiba di pemberhentian",""
"SETTINGS_TTS_FORMATTOOLTIP","{0} - Nama stasiun
{1} - Nama stasiun terminus
{2} - Nama jalur
{3} - Kode jalur (memerlukan mod TLM)",""
"SETTINGS_TTS_NOTAVAILABLE","Maaf, fitur ini hanya tersedia di Windows.",""
"WARNTITLE","Peringatan!",""
"WARNDETAIL","Train Display berhenti menampilkan ：{1}{0}",""
"WARNTEXT","Gagal mendeteksi stasiun terminus",""
"IGNORE","Abaikan",""
"HIDE","Sembunyikan",""
"SETTINGS_RESETBTN","Atur Ulang Pengaturan",""
