"LANGUAGE","Português Brasileiro","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"WHATSNEW_L1","Esta mensagem é só para você saber que o mod foi atualizado",""
"WHATSNEW_L2","Para uma lista detalhada de mudanças, por favor visite a Oficina Steam ou o Github",""
"WHATSNEW_L3","Obrigado por seu uso e suporte!",""
"MOD_DESCRIPTION","Display de Trem Estilo Japonês",""
"NEXT","Próxima","Next {0}. ({0} is the station name)"
"NOW_STOPPING_AT","Agora parando em","Now stopping at {0}. ({0} is the station name)"
"FOR","Para","For {0}. ({0} is the station name)"
"FOR_CIRCULAR","Para","For {0}. ({0} is the station name)"
"SETTINGS_GROUPNAME_DISPLAY","Opções relacionadas à exibição",""
"SETTINGS_DISPLAY_WIDTH","Largura do display",""
"SETTINGS_DISPLAY_ROWDIR","Direção da linha de exibição (válida em idiomas CJK)",""
"SETTINGS_DISPLAY_ROWDIR_L2R","Da esquerda para a direita",""
"SETTINGS_DISPLAY_ROWDIR_R2L","Da direita para a esquerda",""
"SETTINGS_STATION_NAME_ANGLE","Ângulo de rotação do nome da estação (efetivo em não-CJK)",""
"SETTINGS_MAXSTATIONNUM","Número máximo de estações do display",""
"SETTINGS_TEXT_SHRINKED","Reduzir o texto da estação quando for longo",""
"SETTINGS_STATION_SUFFIX","Sufixos de estação para remover",""
"SETTINGS_STATION_SUFFIX_TOOLTIP","Se o nome da estação terminar com esses sufixos, eles serão removidos da exibição.",""
"SETTINGS_STATION_SUFFIX_WHITELIST","Lista de permissão de sufixos de nome de estação",""
"SETTINGS_STATION_SUFFIX_WHITELISTTOOLTIP","Estes não serão removidos dos nomes das estações, mesmo que estejam na lista de sufixos a remover.",""
"SETTINGS_DISPLAY_VEHICLE_TYPE","Exibir tipos de veículo",""
"SETTINGS_TOGGLEKEY","Alternar exibição",""
"SETTINGS_TOGGLEKEY_TOOLTIP","Esta tecla ignorará as configurações ""{0}"". ",""
"SETTINGS_IS_TRAIN","Trem",""
"SETTINGS_IS_METRO","Metrô",""
"SETTINGS_IS_MONORAIL","Monotrilho",""
"SETTINGS_IS_TRAM","Bonde",""
"SETTINGS_IS_BUS","Ônibus",""
"SETTINGS_IS_TROLLEYBUS","Trólebus",""
"SETTINGS_IS_FERRY","Balsa",""
"SETTINGS_IS_BLIMP","Dirigível",""
"SETTINGS_IS_COPTER","Helicóptero",""
"SETTINGS_TTS","Habilitar TTS",""
"SETTINGS_TTS_VOICECHOICE","Selecionar voz",""
"SETTINGS_TTS_TOOLTIP","Habilitar voz de anúncio de estação baseada em texto-para-fala.",""
"SETTINGS_TTS_DEPARTING","Formato de anúncio ao sair da estação",""
"SETTINGS_TTS_ARRIVING","Formato de anúncio ao chegar na estação",""
"SETTINGS_TTS_RATE","Velocidade da fala",""
"SETTINGS_TTS_FORMATTOOLTIP","{0} - Nome da estação
{1} - Nome do terminal
{2} - Nome da linha
{3} - Código da linha (requer mod TLM)
{4} - Nome do tipo de veículo",""
"SETTINGS_TTS_NOTAVAILABLE","Desculpe, este recurso está disponível apenas para Windows.",""
"WARNTITLE","Aviso!",""
"WARNDETAIL","O Display de Trem parou de exibir：{1}{0}",""
"WARNTEXT","Falha ao detectar as estações inicial e terminal",""
"IGNORE","Ignorar",""
"HIDE","Ocultar Display",""
"SETTINGS_RESETBTN","Redefinir Configurações",""
