"LANGUAGE","Українська","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"WHATSNEW_L1","Це повідомлення лише для того, щоб повідомити вас, що мод було оновлено.",""
"WHATSNEW_L2","Для детального списку змін, будь ласка, відвідайте Steam Workshop або GitHub.",""
"WHATSNEW_L3","Дякуємо за ваше використання та підтримку!",""
"MOD_DESCRIPTION","Японський стиль дисплея поїзда",""
"NEXT","Наступна","Next {0}. ({0} is the station name)"
"NOW_STOPPING_AT","Зараз зупиняється на","Now stopping at {0}. ({0} is the station name)"
"FOR","До","For {0}. ({0} is the station name)"
"FOR_CIRCULAR","До","For {0}. ({0} is the station name)"
"SETTINGS_GROUPNAME_DISPLAY","Параметри відображення",""
"SETTINGS_DISPLAY_WIDTH","Ширина дисплея",""
"SETTINGS_DISPLAY_ROWDIR","Напрямок рядка відображення (діє в CJK)",""
"SETTINGS_DISPLAY_ROWDIR_L2R","Зліва направо",""
"SETTINGS_DISPLAY_ROWDIR_R2L","Справа наліво",""
"SETTINGS_STATION_NAME_ANGLE","Кут повороту назви станції (діє в не-CJK)",""
"SETTINGS_MAXSTATIONNUM","Максимальна кількість станцій на дисплеї",""
"SETTINGS_TEXT_SHRINKED","Зменшувати текст наступної станції, якщо він довгий",""
"SETTINGS_STATION_SUFFIX","Суфікси назв станцій для видалення",""
"SETTINGS_STATION_SUFFIX_TOOLTIP","Якщо назва станції закінчується на ці суфікси, вони будуть видалені з відображення",""
"SETTINGS_STATION_SUFFIX_WHITELIST","Білий список суфіксів назв станцій",""
"SETTINGS_STATION_SUFFIX_WHITELISTTOOLTIP","Вони не будуть видалені з назв станцій, навіть якщо вони входять до списку суфіксів для видалення.",""
"SETTINGS_DISPLAY_VEHICLE_TYPE","Показувати типи транспортних засобів",""
"SETTINGS_TOGGLEKEY","Перемкнути дисплей",""
"SETTINGS_TOGGLEKEY_TOOLTIP","Ця клавіша ігноруватиме налаштування ""{0}"". ",""
"SETTINGS_IS_TRAIN","Поїзд",""
"SETTINGS_IS_METRO","Метро",""
"SETTINGS_IS_MONORAIL","Монорейка",""
"SETTINGS_IS_TRAM","Трамвай",""
"SETTINGS_IS_BUS","Автобус",""
"SETTINGS_IS_TROLLEYBUS","Тролейбус",""
"SETTINGS_IS_FERRY","Пором",""
"SETTINGS_IS_BLIMP","Дирижабль",""
"SETTINGS_IS_COPTER","Гелікоптер",""
"SETTINGS_TTS","Увімкнути TTS",""
"SETTINGS_TTS_VOICECHOICE","Вибрати голос",""
"SETTINGS_TTS_TOOLTIP","Увімкнути голосове оголошення станцій на основі тексту в мовлення.",""
"SETTINGS_TTS_DEPARTING","Формат оголошення при відправленні зі станції",""
"SETTINGS_TTS_ARRIVING","Формат оголошення при прибутті на станцію",""
"SETTINGS_TTS_RATE","Швидкість мовлення",""
"SETTINGS_TTS_FORMATTOOLTIP","{0} - Назва станції
{1} - Назва кінцевої станції
{2} - Назва лінії
{3} - Код лінії (потрібен мод TLM)
{4} - Назва типу транспортного засобу",""
"SETTINGS_TTS_NOTAVAILABLE","Вибачте, ця функція доступна лише для Windows.",""
"WARNTITLE","Увага!",""
"WARNDETAIL","Train Display перестав працювати: {1}{0}",""
"WARNTEXT","Не вдалося визначити початкову та кінцеву станції",""
"IGNORE","Ігнорувати",""
"HIDE","Сховати дисплей",""
"SETTINGS_RESETBTN","Скинути налаштування",""
